approach, domain, threads, workload, time sec,       cycles, instructions, L1-misses, LLC-misses, branch-misses,  task-clock, scale,  IPC, CPUs,  GHz 
optimisticLockCoupling,   1024,       1, contains,     6.05, 21688608145.00, 50713966993.00, 97817358.00, 2965375.00,    4680489.00, 6029980145.00,     1, 2.34, 1.00, 3.60 
optimisticLockCoupling,   1024,       2, contains,    12.19, 43589999289.00, 25265062258.00, 166370992.00, 101994125.00,    6219183.00, 12130820035.00,     1, 0.58, 1.00, 3.59 
optimisticLockCoupling,   1024,       4, contains,    10.48, 37576357648.00, 11868083567.00, 110685881.00, 71939971.00,    9843261.00, 10432496394.00,     1, 0.32, 1.00, 3.60 
optimisticLockCoupling,   1024,       6, contains,     6.89, 24760139645.00, 8144046051.00, 83400559.00, 54626769.00,   15193774.00, 6860207308.00,     1, 0.33, 1.00, 3.61 
optimisticLockCoupling,   1024,       8, contains,     6.42, 23003114382.00, 7366414654.00, 71651007.00, 45883609.00,   20091035.00, 6373439745.00,     1, 0.32, 0.99, 3.61 
optimisticLockCoupling,   1024,      10, contains,     5.37, 19340014755.00, 5443527643.00, 55518216.00, 35914528.00,   20819767.00, 5343074164.00,     1, 0.28, 1.00, 3.62 
optimisticLockCoupling,   1024,       1,      mix,     5.87, 21068254713.00, 49460192202.00, 109112445.00, 4029768.00,    5236873.00, 5845964739.00,     1, 2.35, 1.00, 3.60 
optimisticLockCoupling,   1024,       2,      mix,    16.04, 57361821936.00, 25084778617.00, 175745905.00, 107992223.00,   11085358.00, 15941962251.00,     1, 0.44, 0.99, 3.60 
optimisticLockCoupling,   1024,       4,      mix,     9.47, 33910398731.00, 11496682744.00, 89730082.00, 67572102.00,   10538252.00, 9410059171.00,     1, 0.34, 0.99, 3.60 
optimisticLockCoupling,   1024,       6,      mix,     7.15, 25699927006.00, 11402014096.00, 100082814.00, 73464055.00,   31446571.00, 7117432245.00,     1, 0.44, 1.00, 3.61 
optimisticLockCoupling,   1024,       8,      mix,     5.67, 20296474110.00, 8851492872.00, 79983895.00, 59567592.00,   27671387.00, 5636120337.00,     1, 0.44, 0.99, 3.60 
optimisticLockCoupling,   1024,      10,      mix,     4.83, 17319778445.00, 6983881043.00, 66224772.00, 46958208.00,   26133425.00, 4790178751.00,     1, 0.40, 0.99, 3.62 
